x,y,x2,y2,color
species chimp, chromosome 17
23,200,57,100,inversed
species human, chromosome 17
23,200,57,100,inversed
164,200,173,0,same orientation
164,200,177,400,same orientation
76,200,133,0,inversed
species human, chromosome 17
41,200,36,100,inversed
160,200,150,0,inversed
160,200,138,400,inversed
157,200,142,400,inversed
157,200,153,0,inversed
95,200,114,0,inversed
102,200,107,0,inversed
species chimp, chromosome 17
39,200,11,100,same orientation
135,200,138,0,inversed
135,200,163,400,inversed
species human, chromosome 17
6,200,58,100,inversed
species chimp, chromosome 17
6,200,61,100,inversed
93,200,106,400,same orientation
82,200,127,0,same orientation
82,200,91,400,same orientation
species human, chromosome 17
19,200,53,100,inversed
species chimp, chromosome 17
19,200,74,100,inversed
species chimp, chromosome 17
19,200,11,100,inversed
species human, chromosome 17
28,200,50,100,same orientation
species chimp, chromosome 6
28,200,135,100,same orientation
124,200,149,0,inversed
113,200,96,0,inversed
84,200,125,0,inversed
146,200,152,400,inversed
146,200,164,0,inversed
species chimp, chromosome 17
50,200,22,100,inversed
species chimp, chromosome 17
32,200,49,100,inversed
species human, chromosome X
32,200,46,100,inversed
species chimp, chromosome 11
32,200,57,100,inversed
120,200,133,400,same orientation
117,200,130,400,same orientation
species human, chromosome 17
34,200,41,100,same orientation
138,200,135,0,inversed
138,200,160,400,inversed
species chimp, chromosome 17
61,200,37,100,same orientation
species chimp, chromosome 17
61,200,34,100,same orientation
species human, chromosome 17
61,200,18,100,same orientation
species chimp, chromosome 17
61,200,36,100,same orientation
species human, chromosome 17
61,200,19,100,same orientation
species chimp, chromosome 17
61,200,33,100,same orientation
species chimp, chromosome 17
56,200,28,100,same orientation
species human, chromosome 17
56,200,25,100,same orientation
98,200,111,0,inversed
108,200,101,0,inversed
species human, chromosome 17
33,200,44,100,same orientation
66,200,30,400,same orientation
66,200,77,0,same orientation
species human, chromosome 17
51,200,28,100,same orientation
species chimp, chromosome X
145,200,69,100,same orientation
species human, chromosome Y
145,200,15,100,same orientation
species human, chromosome X
145,200,66,100,same orientation
species human, chromosome X
145,200,51,100,same orientation
99,200,112,400,same orientation
species human, chromosome 17
57,200,25,100,inversed
species chimp, chromosome 17
57,200,29,100,inversed
species human, chromosome 17
60,200,19,100,inversed
species chimp, chromosome 17
60,200,33,100,inversed
110,200,123,400,same orientation
species chimp, chromosome 17
35,200,81,100,inversed
species chimp, chromosome 17
35,200,8,100,inversed
123,200,150,0,inversed
123,200,136,400,inversed
114,200,95,0,inversed
114,200,127,400,inversed
141,200,157,400,inversed
141,200,169,0,inversed
83,200,95,400,inversed
83,200,126,0,inversed
85,200,98,400,same orientation
species chimp, chromosome 17
29,200,45,100,inversed
species chimp, chromosome 17
1,200,78,100,inversed
species chimp, chromosome 17
38,200,11,100,inversed
species chimp, chromosome 7
3,200,0,100,same orientation
94,200,107,400,same orientation
92,200,117,0,inversed
150,200,160,0,inversed
150,200,148,400,inversed
105,200,104,0,inversed
132,200,141,0,inversed
132,200,166,400,inversed
species human, chromosome X
132,200,51,100,inversed
species chimp, chromosome X
132,200,54,100,inversed
species chimp, chromosome X
132,200,69,100,inversed
species chimp, chromosome X
132,200,169,100,inversed
species human, chromosome X
132,200,67,100,inversed
species chimp, chromosome 17
13,200,68,100,inversed
species human, chromosome 17
13,200,65,100,inversed
species chimp, chromosome 17
24,200,40,100,inversed
101,200,114,400,same orientation
species chimp, chromosome 17
46,200,19,100,inversed
species human, chromosome 17
46,200,56,100,inversed
species chimp, chromosome 17
46,200,39,100,inversed
species chimp, chromosome 17
46,200,21,100,inversed
species human, chromosome 17
46,200,58,100,inversed
species human, chromosome 17
46,200,4,100,inversed
species human, chromosome 17
46,200,41,100,inversed
species chimp, chromosome 17
46,200,56,100,inversed
163,200,172,0,same orientation
88,200,101,400,same orientation
88,200,121,0,same orientation
species chimp, chromosome 17
40,200,13,100,same orientation
77,200,40,400,same orientation
119,200,90,0,inversed
species human, chromosome 20
119,200,25,100,inversed
species chimp, chromosome 20
119,200,2,100,inversed
species human, chromosome 17
59,200,19,100,same orientation
species chimp, chromosome 17
59,200,36,100,same orientation
155,200,155,0,inversed
155,200,144,400,inversed
162,200,170,0,inversed
162,200,174,400,inversed
97,200,112,0,inversed
137,200,161,400,inversed
137,200,136,0,inversed
100,200,109,0,inversed
118,200,131,400,same orientation
species chimp, chromosome 17
4,200,59,100,inversed
species human, chromosome 17
4,200,71,100,inversed
91,200,104,400,same orientation
72,200,83,0,same orientation
72,200,35,400,same orientation
species chimp, chromosome 17
45,200,15,100,same orientation
149,200,161,0,inversed
149,200,149,400,inversed
species human, chromosome 17
27,200,49,100,same orientation
104,200,117,400,same orientation
species chimp, chromosome 17
21,200,74,100,inversed
species human, chromosome 17
21,200,54,100,inversed
species chimp, chromosome 17
16,200,73,100,inversed
species human, chromosome 17
16,200,70,100,inversed
166,200,133,400,same orientation
166,200,13,0,same orientation
166,200,128,400,same orientation
species human, chromosome 17
43,200,33,100,inversed
species chimp, chromosome 17
52,200,24,100,inversed
species chimp, chromosome 17
30,200,46,100,inversed
115,200,128,400,same orientation
species human, chromosome 17
9,200,62,100,inversed
species chimp, chromosome 17
9,200,65,100,inversed
122,200,135,400,same orientation
species chimp, chromosome 17
36,200,12,100,same orientation
species human, chromosome 17
36,200,40,100,same orientation
158,200,141,400,inversed
158,200,152,0,inversed
species chimp, chromosome 17
63,200,36,100,same orientation
79,200,130,0,inversed
109,200,122,400,same orientation
111,200,98,0,inversed
126,200,147,0,inversed
126,200,172,400,inversed
86,200,123,0,inversed
species human, chromosome 17
48,200,29,100,same orientation
species chimp, chromosome 17
0,200,79,100,inversed
144,200,166,0,inversed
144,200,154,400,inversed
